relevant,type,sentence
0,0,"monson continued to run on the selectmen form of government until 1943, when they decided to elect a town manager to run the business of the town."
0,0,"the town manager also serves as 10 history of monson, maine tax collector, road commissioner and treasurer."
0,0,the rst to be elected for this office was lyle towne who held the position until 1955. to date monson has had four town managers.
0,0,"the rst settler in this town was joseph bearce, who came from hebron in 1816. he had been here the pre vious year and felled a few trees."
0,0,he commenced on lot numbered nine in the second range.
0,0,"during that summer, 1816, he cleared a eld and built a small log house."
0,0,this was the rst house in town.
0,0,"it was situated a few rods north of the road now leading from our village to blanchard, and near where the road formerly known as the dudley road leaves the blanchard road."
0,0,in the spring of 1818 he married nancy ricker of paris.
0,0,in the autumn of the same year death claimed him for its victim.
0,0,while mr.
0,0,"bearce lived in this town, the path from abbot to the settlement diverged from the path leading to million acres, now blanchard, and nding a pair of moosehorns, mr."
0,0,b. placed them upon a post as a guide board.
0,0,from that time on they served as a guide-post for the many settlers traveling on these spotted trails.
0,0,"in 1882, william weeks shot a moose and put its horns on the post."
0,0,he painted million acres on one horn and mon son on the other horn.
0,0,on aug.
0,0,"25, 1914, the piscataquis historical siciety held a dedication ceremony replacing another set."
0,0,several pairs were stolen over the years and some were simply demolished from the elements.
0,0,"in june of 1955, still another pair was mounted on the iron post."
0,0,this was the sixth set of moosehorns dating from 1817 to 1955. on oct.
0,0,"29, 1961, the d.a.r."
0,0,tisbury m31001 chapter placed a bronze marker at the moosehorns to preserve the historic landmark.
0,0,"in 1816, geo."
0,0,"doughty from gray, and simeon irish, from hebron, commenced to fell trees in what has since been known as the witham neighborhood."
0,0,mr.
0,0,"irish built a small house that fall and moved into it in 1817. history of monson, maine 11 this was the rst frame house in town, and was covered with shaved clapboards, without any boarding."
0,0,it was situated on what was afterwards known as the fogg place near j. b. drapers the now abandoned moose horn to blanchard road.
0,0,(the draper farm was des troyed by re.)
0,0,mr.
0,0,"doughty raised some crops on his land in 1817, and built a log house, into which, with a wife and ve children, he moved in march, 1818. these were the first children in town."
0,0,samuel rowe and wife from hebron came to monson the same year.
0,0,"in the fall of 1818, james stancheld came from albion, and in february 1819, moved with his family into the house built by mr."
0,0,bearce.
0,0,"the house he built was the rst house built in the east half of monson, or on that part granted to monson academy, and the place where, for some length of time, the peope were accus tomed to meet for religious worship and for other purposes."
0,0,"this house was used for several years as a dwelling-house, meetinghouseand school-house."
0,0,it stood on the spot where joseph daines buildings stood in 1872.
0,0,(located in the general area opposite the finn hall on rt.
0,0,15.)
0,0,"in the spring of 1819, joseph jackson and wife, with a family of eight children, came from no."
0,0,"7, now abbot."
0,0,he had been here the fall before and felled some; trees on the place occupied by david b. cotton in 1872 (now woodlands about one-half mile north of the moose horns on rt.
0,0,15).
0,0,"here he erected a log house and lived several years; after which he moved into the east half of the town, living on the farm occupied by h. c. pullen in 1872 (now stanwood pullens farm)."
0,0,"the same sea son, samuel weymouth, amos atkinson and abial pack ard came with their families and commenced making homes for themselves."
0,0,mr.
0,0,packard bought mr.
0,0,"irishs house, and mr."
0,0,"atkinson located on the north side of hebron pond, this was the rst settlement north of the pond."
0,0,"12 history of monson, maine the rst birth in the town was a child born to simeon irish and wife, in the summer of 1818. the second was in the family of samuel rowe, the next summer; and the third was a son of amos atkinson, in the autumn of 1819, while they were living so far from neighbors, on the north side of the pond."
0,0,a. atkinsons child died suddenly between the ages of two and three months old.
0,0,"in the summer of 1818, the trustees of monson acad emy sent abel goodell to explore the township, thus to be able to recommend to others to come here to find or rather to make themselves homes."
0,0,"in the fall of 1819, capt."
0,0,"amasa chapin traded with the trustees of the academy for one mile square of land, in the east half of this town, taking the same in part pay for his farm in monson, mass."
0,0,"(his home was built on the present site of edward kuglers farm, n. guilford road.)"
0,0,"in may, 1820, capt."
0,0,"samuel whitney, justin colton and william a. hyde, with their families, and calvin colton and lucius hyde, leaving their families behind until the next winter, and royal day, austin newell and horatio sherman, single men, seventeen in all, came from monson, mass., and commenced a settlement, where the village now stands, and in the southeastern part of the town."
0,0,.
0,0,they left monson mass.
0,0,in april.
0,0,"they were about three weeks on the way, and spent the sabbath, may 7th, at capt."
0,0,"chapins in abbot, where they left the women and children for a few days, coming here on monday, may 8th."
0,0,they stopped a few days in mr.
0,0,"stanchelds house, and then went to mr."
0,0,"atkinsons where they found a home until they could clear away the forest sufficiently to build a house, which was soon ready for their recep tion."
0,0,this house stood on the spot where h. g. shermans house stood in 1872 (now known as louise grovers home) and was the rst house in the village and the second framed house in town.
0,0,it was the home of capt.
0,0,"whitney as long as he was a resident of this town, and history of monson, maine 13 for several years was a temporary home for quite a num ber of other families, they stopping here until they could construct some sort of house for themselves."
0,0,"in the winter and spring of 1822 and 1823, no less ."
0,0,than ve families found a home in this house at the same time.
0,0,"these were the families of samuel whitney, james whiting, william a. hyde, lucius hyde, and this in a house twenty-two feet by thirty and unnished."
0,0,"in this house, the rst birth in the east half of the town, and the rst in the families from massachusetts after their arrival here, occurred on the first day of january, 1821. this was a daughter to william a. hyde and wife."
0,0,this child was known as mrs.
0,0,"catherine m. giddings of portland in 1872. in the summer of 1820, the dam was built across the outlet of the pond, thus ooding the little pond and rendering more valuable the water power."
0,0,"at this time, the water-power, with one mile square of land - lot no."
0,0,"10 was the property of whitney, hyde and fay."
0,0,"in the summer and autumn of 1821, they erected a saw-mill and grist-mill."
0,0,"a second grist-mill was built by t.davee, from blanchard, in the year of 1841. mr."
0,0,"fay never came here to live and soon after sold out his interest to frederic f. gates, who with his family, came here in the spring of 1823 to make a home."
0,0,"soon after this the partnership was dissolved, mr."
0,0,"whitney keeping the mills, mr."
0,0,gates the northern and mr.
0,0,hyde the southern part of their tract of land.
0,0,"in the spring of 1820, about three weeks after the: rst emigrants from monson, mass."
0,0,"arrived, isaac tyler came from new gloucester and started to clear land."
0,0,"on march 10, 1822, he and his wife moved into his home."
0,0,"in february, 1822, andrew cushman and wife with a family of seven children, came from the town of ox ford."
0,0,mr.
0,0,c. had been here the previous year and felled trees.
0,0,mr.
0,0,cushmans was the fteenth family in town.
0,0,"the same spring, austin newell brought his wife, whom 14 history of monson, maine he had returned to monson, mass., to marry; and with them came hiram vinton."
0,0,"in the spring of 1822, there also came from oxford county, cyrus packard, william bowker and cornelius barrows."
0,0,zibeon packard came about the same time.
0,0,"abel goodell who came in 1818 to explore the township, left monson, mass, in the spring of 1821. leaving his family in harmony, he came here and cleared his farm."
0,0,"the next winter he moved his family as far as guilford, where they stayed one year."
0,0,"he was considered a resi dent in this town, voting and holding office in 1822, although his family did not arrive here until may, 1823. although there appears to have been but twenty-one voters here in april, 1822, and only twenty-ve votes cast for governor in september of the same year, yet upon an old tax list of 1822 there were names of thirty two resident taxpayers."
0,0,"the names on that list, not already mentioned, are nathaniel bennett, reuben cush man, samuel tobin, george hathaway and isaac stone."
0,0,hathaway and stone were young men employed that season by capt.
0,0,chapin.
0,0,"the others lived here with their families and probably came in 1821 or the spring of 1822. in october, 1822, james whiting and family, ve in all, came from wrentham, mass., and lived with mr."
0,0,whitney and mr.
0,0,"atkinson, until mr."
0,0,"whiting could build a house, when they moved on to the place known as the whiting farm (now bessie dobles on water street)."
0,0,"in the spring of 1823, alexander greenwood, esq., who had been employed by the trustees of hebron acad emy in 1811, to lot their portion of this township, and afterwards by monson academy to survey and lot the remainder of the town, moved from hebron and settled on the land formerly known as the watson farm (now owned by andrew sophrer of dexter) and located beyond the r. mathews farm."
0,0,"in the same summer samuel robinson, zenas scales,  abel janes and daniel wallace came and settled in this history of monson, maine 15 town."
0,0,in october of the same year joseph goodell and dr.
0,0,a. davison came from vermont.
0,0,mr.
0,0,goodell lived on the present site of lloyd ke1leys home and orchards and mr.
0,0,davison moved into dea.
0,0,"hydes house, which had been built that summer."
0,0,this house belonged to j. p. haynes in 1872 and was the second house built in the village.
0,0,here dr.
0,0,"davison lived until 1825, in the sum mer of which year he built the house which is the present home of mr."
0,0,and mrs.
0,0,fred finley on center st.
0,0,and moved into it in the autumn.
0,0,sometime during this year samuel and zebedee thomas and john packard settled in the west part of town.
0,0,daniel briggs also came the same year.
0,0,"in 1824, william connor, simeon davee, john crafts, solomon cushman, john morton and oliver eveleth, became residents of this town."
0,0,"in 1826, no less than nine men, most of them having families, moved into town."
0,0,they were capt.
0,0,"j. mathews, r. k. packard, joseph barrett, roland taylor, vvarren dudley, joshua buck, david goodell, benjamin ward and john b. packard."
0,0,"in 1827 came joseph booth, h. g. o. harmon, george dunham, william goding and abel jewett."
0,0,"in 1828, abner brown, william d. hoar, milton hoar, thomas towns and solomon bray."
0,0,mr.
0,0,"bray probably had the largest family ever living in this town, fourteen children, seven sons and seven daughters, all of whom lived to be men and women."
0,0,"post office: in the year 1824 or 1825, the post office in this town was established."
0,0,"before this, all the mail matter desig nated for this place stopped at sangerville, and the inhabitants were obliged to go twelve miles to mail or to receive a letter or paper."
0,0,frederic f. gates was the rst post master and hiram doughty the first mail carrier.
0,0,mr.
0,0,"d. was succeeded, in a short time, by benjamin 16 history of monson, maine stancheld, who every saturday for two years, went on foot to esq."
0,0,"kelseys in guilford, returning in the same day, with the mail, and being obliged to cross the piscat aquis river twice each way - in the best manner he could for there was no bridge - in order to leave the mail at the post office in abbot."
0,0,"for this service the government paid these men two shillings a trip, or a little more than one cent for each mile of travel."
0,0,"they usually had some errands to do for the inhabitants, for which they received some triing compensation."
0,0,"as they approached the post office, and sometimes as they passed the houses, they sounded a trumpet before them to inform the people that the mail was coming, and that there was an oppor tunity for any one who wished to send errands."
0,0,"in 1827, the mail was carried by deacon fuller from bangor to monson, once a week; and in 1831 mail arrived in mon-, son three times a week."
0,0,after 1883 monson had mail twice daily except on weekends.
0,0,"on february 6, 1960, the new metro system was introduced and mail arrives at 8:00 a.m."
0,0,and leaves at 5:00 p.m.
0,0,daily except sundays.
0,0,the postmaster was chosen according to the politi cal party in power to which he belonged.
0,0,(note: this no longer applies as it is a civil service position.)
0,0,"therefore, the post office has been housed in several buildings in town: 1882, the present c. bickford home; 1889, present monson light and power co."
0,0,"block; 1910-1911, present t. moore block; 1912, present m. l."
0,0,& p. go.
0,0,"block; then, present monson variety store; 1940s, moved to its present location in the t. moore block."
0,0,"(note: recent postmasters: alner gilbert, edward johnson, harvey gilbert, harland johnson.)"
0,0,"erma johnson small is the present postmaster with the following part time em ployees: neola jacobson, eloise stevens, and dagmar greenleaf."
0,0,"history of monson, maine 17 (note of interest  the shed now attached to the present home of paul allen on garage st."
0,0,was built on main st.
0,0,after the re of 1911. it was used temporarily as a drug store and postoffice.)
0,0,"first electricity in monson: on january 25, 1908, monson had its rst electricity."
0,0,the power was generated right here in monson by using water power from lake hebron.
0,0,"later, when the water couldnt generate enough power for the monson, maine slate co."
0,0,"to run their machines, they purchased the power from greenville which was generated at wilson pond."
0,0,monson light and power co.
0,0,"was incorporated in december of 1907, with the monson, maine slate co."
0,0,own ing all the stock.
0,0,in june of 1944 francis marshall bought all the stock of the monson light and power go.
0,0,from the slate co.
0,0,and bought the electricity wholesale from cen tral maine power co.
0,0,"then in june of 1964, central maine power took over the distribution facilities in the town."
0,0,"first telephones in monson: there are no records to conrm this statement, but it was said that the rst telephones in monson, were at the monson, maine slate co."
0,0,"quarry and quarry offices, and that it just grew like topsy from that time on."
0,0,mr.
0,0,fred crane was superintendent of the monson slate co.
0,0,"at that time, and he took over the telephone business and carried it on as a private enterprise as long as he lived, although it was never a paying proposition."
0,0,"the southeast monson telephone co., more commonly known as the farmers line was formed by the residents in the southeast part of monson and was connected to the outside through fred cranes co."
0,0,"the telephone busi ness was sold in 1946 to the new england telephone 18 history of monson, maine co."
0,0,which established a nice telephone office in monson in the present donald keene block (now used as a barber shop) and employed several people at the time.
0,0,"on july 28, 1955, monson went onto the dial system at 12:01 a. m. and from that time on operators were no longer needed."
0,0,"at the present time, monson cannot dial direct as can many of the other cities and towns, but is in hope of being able to do so in the near future."
0,0,"monson free public library: january 16, 1909, seven citizens of monson peti tioned the state expressing their desire to be incorporated under the provisions of chapter 57 of the revised stat utes of 1903 and amendments and maintaining a free public library."
0,0,"february 4, 1909, a certicate of organi zation of the monson free public library association was led in the office of the secretary of state at augusta, and said organization was duly notied."
0,0,"the rst books purchased were books written by stevenson, harte, dickens and history books, numbering 90 in all."
0,0,by feb.
0,0,"6, 1910 the library had 636 books."
0,0,"in 1947, the womans club of monson appointed a committee to work with one of the state librarians discarding all outdated books."
0,0,"at this time, the library was completely redecor ated and the books catalogued according to the dewey decimal system."
0,0,it was located at this time in what is now the monsons historical museum.
0,0," on april 19, 1969, the library moved into its new home in the new municipal building in back of the town office."
0,0,it contains approximately 5000 volumes.
0,0,the complete interior facilities were donated by the moose head mfg.
0,0,co.
0,0,miss vivienne bray is the present librar ian; mrs.
0,0,van wentworth and mrs.
0,0,"mary williams, assistant librarians."
0,0,"history of monson, maine 19 monsons schools the early settlers were very anxious for their child ren to be educated and the very rst schools were held in private homes, this being before the town was incor porated."
0,0,"in 1823, a schoolhouse was erected near the center of the town."
0,0,"traveling conditions being very difficult, it soon became necessary to have neighborhood schools."
0,0,"in 1827-28, a school was built in the day district, and by 1848, there were schools in various localities."
0,0,"there were eight rural school houses, those being: (1) old burma school - located on blanchard road, abandoned 1906. this building no longer stands."
0,0,"(2) new burma school  located on the blanchard road, opened in the spring of 1906. this building still stands and is privately owned and now called the wagon wheels."
0,0,(3) new long dis trict school - located on the monson-guilford road.
0,0,presently it is known as the finn hall used by the finnish farmers club.
0,0,this one was in use in 1907.
0,0,"(4) north neighborhood school located up by drakes corner, elliottsville road near esmond richards home."
0,0,this building has tumbled down.
0,0,(5) vinton school house  located at the corner of the williniantic and s. e. mon son roads.
0,0,this building was moved to its present location across from charles stroms home in southeast monson in 1921. this is the original building and has never been used for anything but a schoolhouse.
0,0,(6) red school house - located on n. guilford road below days crossing and southeast monson road.
0,0,this building is now gone.
0,0,(7) barrows falls school - located between blanchard and barrows falls.
0,0,"this building was in use 20 history of monson, maine in 1906-07, but is now gone."
0,0,(8) old long district school - located on the guilford road near ladd brook below arthur nelsons house.
0,0,building now gone.
0,0,monson elementary school the first grammar school building called old schoolhouse was located between monson academy and the church cemetery.
0,0,"this building burned march 31, 1899, and was rebuilt on the present site."
0,0,this school being centrally located made it possible to transport boys and girls to the village by bus.
0,0,the district schools were closed by 1939. monson academy owes its birth to private enter prise.
0,0,there was a group of people who were determined that the boys and girls of this little hamlet should have all the advantages of the times.
0,0,this group was made up of ftyfourcitizens who were later named as corporat ors.
0,0,"the corporators proved their eagerness for an in.sti tution of higher learning by subscribing $1,000.00 for the purpose of establishing an academy for the education and improvement of youth."
0,0,"a committee of three peti tioned the legislature for its incorporation june 14, 1847, and the act of incorporation was approved by gov."
0,0,"john w. dana, and can be found in chapter 62 of the acts of that year."
0,0,"the corporate name was stockholders of monson academy, each subscriber holding a number of shares corresponding to his subscription."
0,0,the corporators met for organization at centre school house in monson on sept.
0,0,"4, 1847. dr."
0,0,"alpheus davison was chosen chairman and ephriam flint, clerk."
0,0,on sept.
0,0,"18, 1847 the following were chosen: lucius bradford, pres."
0,0,#NAME?
0,0,"the building was erected by joseph lombard, for $935.51, the total cost including a heating system being $1,014.87."
0,0,the building was dedicated aug.
0,0,"28, 1848. history of monson, maine 21 the legislature granted the institution a half township, which was sold dec."
0,0,"2, 1852, for $3,000.00."
0,0,for several years the sum constituted the entire endowment of the academy.
0,0,"the original building was two stories high measuring 37 by 40 feet with the school on the ground oor and the hall above being used for a recreation room and for concerts, lectures and other public purposes."
0,0,"the academy had a small, well-selected library."
0,0,the rst session of school was held in the fall of 1848 with 106 persons in attendance.
0,0,"march 1860, the academy was burned to the ground."
0,0,"reconstruction was started immediately and the framework of this structure measuring 37 by 56 feet was still uncovered when re again selected monson as its victim, destroying the greater part of the village.in spite of all obstacles the stalwart people of monson nished building the academy in 1860. the 1861 legislature granted monson academy one fourth of a township in aroostook county, which the trustees sold jan."
0,0,"24, 1864, to george k. jewett of bangor, for $2,000.00."
0,0,the in terior of the building was nished on the strength of this grant.
0,0,"the rst session of school was held in the new academy in 1861, and continued under the direction of the trustees until 1872, when the academy united with the high school in exchange for a grant made by the town for this purpose."
0,0,the academy was then governed by the trustees and the school committee.
0,0,"on july 1, 1892, the rst oor of the academy was made into two school rooms and the high school was calcimined."
0,0,"on january 2, 1901, the academy was made free for the students of monson village."
0,0,"a on january 16, 1908, arrangements for a laboratory were made."
0,0,"march 16, 1922, $100.00 was spent for installing electric lights for the academy."
0,0,"1 22 history of monson, maine february 27, 1924, $3,000.00 was spent remodeling the academy."
0,0,"the academy celebrated its one hundredth birth day in the summer of 1947. the same building was used with slight changes in remodeling the inside with up-to-date heating, lighting and plumbing facilities until 1968, when the academy consolidated with school administrative district no."
0,0,68. the academy and elementary buildings were remodeled to house the grades from kindergarten thru the sixth grade.
0,0,the seventh thru twelfth grades travel by bus to dover-foxcroft to attend grammar school and foxcroft academy.
0,0,a gymnasium was one of monsons big needs for a great many years.
0,0,"in 1940 & 1941, the monson commun ity hall fund was organized and a campaign was launch ed to raise $20,000."
0,0,"by august of 1941, $4,600."
0,0,"in cash and 50,000 feet of lumber had been donated."
0,0,the plan was to have a wooden building with a slate roof.
0,0,"when $10,000 was on hand the building would be started."
0,0,"before the end of the year, vvorldwar ii disrupted all the plans."
0,0,"a few donations continued to come in, and the local organizations and school classes continued to make annual contributions."
0,0,all organized campaigns were suspended for the next ve years.
0,0,"a monson academy alumni association was organ ized in june of 1947. the rst meeting for organization was held at the masonic hall june 13, 1947 with esther pennington acting as chairman of organization for the alumni association."
0,0,at that meeting the following were chosen as officers: pres.
0,0,- stanwood pullen; v.pres. harland johnson; sec.
0,0,prior to this meeting the by-laws for the association were written by millard emanuelson as early as 1937. this group decided to back the gym project.
0,0,"there was $16,000."
0,0,"in the treasury, and the alumni association history of monson, maine 23 hoped to double the amount."
0,0,the project was known as the monson gym fund from that time on.
0,0,the steady rise in cost of materials and labor made the original type of building beyond reach.
0,0,it was de cided to have a pre-fabricated type of aluminum building.
0,0,"the sum of $22,437.50 was needed to have an outlined building with foundation, walls and insulation."
0,0,the structure was started and once more an appeal was made for subscriptions.
0,0,"the response was generous, but there was only enough funds to carry on work for a few months."
0,0,"at the town meeting on march 11, 1950, the town voted to borrow the sum of ten thousand dollars for the completion of the monson gym and the same to be paid back by the alumni association in ten notes, with each one being for a thousand dollars plus interest."
0,0,the same year monthly committees were appointed to raise at least $100.00 a month.
0,0,the enthusiasm with which these committees worked is a credit to any com munity.
0,0,"for five years there was a project every single month in this little town of less than one thousand persons and very seldom did a committee fail to raise the minimum, in many cases going way above the hund red dollar mark."
0,0,"in march, 1951, monson had the honor of having the late harland ladd, then state commissioner of educa tion, dedicate the new gym."
0,0,"the last note on the gym was paid june 13, 1955, and the note burned with tting ceremony at the alumni banquet june 24, 1955. at one time, the seventh and eighth grades sold refreshments at recess time under the supervision of the late pete gattrell, to earn money to add to the sum of two thousand dollars to buy stage curtains, chairs, bleachers, showers and other necessities."
0,0,"24 history of monson, maine history of monson, maine 25 north neighborhood school vinton distict school old burma school new burma school 26 history of monson, maine long district school monson academy and old grammar school present monson schools and gymnasium history of monson, maine 27 congregational church baptist church main street pleasant street swedish lutheran church swedish methodist church wilkins street water street 28 history of monson, maine rev."
0,0,"douglas p. braydon monson community church main street community church parsonage on center street (former baptist parsonage) history of monson, maine 29 monsons churches in may, 1820, a colony came from monson, mass."
0,0,"these were men of character and inuence, men who had provided well for their families and who were de termined to maintain the same high standard in this new sparcely-settled town."
0,0,"on their rst sunday after their arrival, they had a meeting for religious worship in the house built by mr."
0,0,bearce.
0,0,"as far as anyone can trace, this was the rst service held in monson for the purpose of worship with the exception of two funerals."
0,0,arrangements were made to have religious services for the rst sunday in june at mr.
0,0,"abiel pack:-u""dshouse, being more centrally located for monson people and for the families who had set tled at million acres, now blanchard."
0,0,"the next sabbath, they met again at the same place and also organized a sabbath school."
0,0,services were held here for the rest of the summer.
0,0,for the next two years all worship services were held in the home of james stancheld.
0,0,"by this time a schoolhouse had been built in the center of the town, and public worship was held there until a church build ing could be erected."
0,0,"in august, 1821, rev."
0,0,"john sawyer visited monson, and a congregational church was formed consisting of seven members."
0,0,it was not until nov.
0,0,"1824, that rev."
0,0,lot ryder came to be the regular minister and was ordained in the barn of capt.
0,0,s. whitney.
0,0,"in 1831, the rst church building north of bangor was erected and was dedicated as a congregational church."
0,0,"this church, which was framed by r. k. packard, and was the rst building framed by the square rule, was destroyed by re in 1860, and rebuilt the following year."
0,0,"august 10, 1827, marked the founding of the baptist church in monson, with 14 members."
0,0,the meeting house.
0,0,"30 history of monson, maine was erected in 1845. during the pastorate of the rev."
0,0,"joseph grossa, (1918-1924) the church was remodeled, being raised two feet with a concrete sub-foundation and a back upper foundation."
0,0,"a furnace, the gift of mrs."
0,0,"brown steward, was installed in the basement and the old-fashioned pews were replaced by new ones."
0,0,the old windows were replaced by lovely stained glass memo rial windows.
0,0,a vestibule was built onto the front of the building with one large entrance.
0,0,the belfry and steeple were raised and the church was redecorated inside and out.
0,0,"the baptist and congregational church began hold ing united services in 1933. church was held in the summer for six months in the baptist church, and in the congregational church in the winter of the remaining six months, with the rev."
0,0,martin sorenson officiating.
0,0,"after 10 years of planning the two churches (baptist and congregational churches) merged their buildings into one well-designed structure on august 14, 1959, to be called the monson community church."
0,0,"in may, 1958, a building fund campaign was launched to nance the joining of the two churches."
0,0,"by late novem ber of that year the new foundation for the baptist church at the congregational church site on main street was completed and the church, minus its steeple, was on skids ready to be moved."
0,0,"through donations and sales during the year, the move was possible in the spring of 1959. the rev."
0,0,donald f. blanchette was pastor at the time.
0,0,"the church members who helped to make the mer ger possible were: george (bill) wentworth, record pullen, mrs."
0,0,"john durham, mr."
0,0,and mrs.
0,0,"philip knight, mrs."
0,0,"clifton weymouth, miss vivienne bray, mrs."
0,0,arvid anderson and mr.
0,0,and mrs.
0,0,sherwood johnson.
0,0,"one year later, to the day, on august 14, 1960, the new sanctuary was dedicated."
0,0,rev.
0,0,"william r. huber history of monson, maine 31 was minister at the time of this dedication."
0,0,the lights in the steeple were given in memory of samuel pennington by mrs.
0,0,esther pennington.
0,0,"on august 20, 1961, dr."
0,0,charles gilky dedicated the pulpit in the sanctuary in memory of dr.
0,0,shailer mathews.
0,0,"in the summer of 1960, plans were made to make the congregational church building into an educational building with three classrooms, a lounge, and restroom downstairs with an auditorium upstairs."
0,0,"$1,000.00 was left to the church by mrs."
0,0,sarah huff.
0,0,this money was the starter for the educational build ing.
0,0,"the committee borrowed $3,000.00 from the guil ford trust company and the carpenter, mr."
0,0,"clarence case, started the work."
0,0,"in march of 1961, the educational building was dedicated, and the united circle donated the lounge chairs to the church."
0,0,"water and rest room facilities were installed in 1962. in 1963, the nal payment on the $3,000.00 note was made."
0,0,"in the fall of 1966, the monson community church joined with the abbot and sangerville churches and formed the s.a.m."
0,0,larger parish.
0,0,"before this, the churches could not afford to hire a full time minister and relied on inexperienced students who could only stay for short periods of time."
0,0,"after forming, they were able to hire rev."
0,0,douglas brayton as full time minister devoting his time equally between the three churches.
0,0,the s.a.m.
0,0,"stands for sangerville, abbot and monson."
0,0,"1971 brought the completion of the kitchen and dining room area, giving the various church and town organizations a place to hold their activities."
0,0,"it was about 1874-1875, that the swedish people began coming to monson, most of them working in the slate quarries."
0,0,the swedish people did not understand the language of this countr_v.
0,0,"and wanting to worship 32 history of monson, maine god in their own tongue, they built a swedish 1viission church in 1890. some of the members of this church were lutheran, which is the state church of sweden, and some held other beliefs."
0,0,"there was a break in the organization, and in 1892 the swedish methodist church was built."
0,0,from that time on the swedish mission church was known as the swedish lutheran church.
0,0,both churches had swedish ministers and conducted their ser vices in their native tongue.
0,0,there were services in these churches for many years.
0,0,the saturday night church suppers which were held in the members homes were very popular.
0,0,the swedish lutheran church on wil kins street was sold to the american legion in 1946 and made into a legion hall.
0,0,on dec.
0,0,"8, 1970 the american legion sold the hall, and it is now privately owned."
0,0,"the swedish methodist church was sold to the assembly of god, which is the church located on water street, and is now known as the open-door full gospel church."
0,0,"there were a few universalist people in town in 1884. a parish was organized, and a few services were held."
0,0,"a ladies circle was organized, and a fund raised which was turned over to the universalist state conven tion, held in trust for universalist work in monson."
0,0,the congregational parsonage was located between the homes of charles brown and robert greenleaf on s. main st.
0,0,this building is now owned by d. luce.
0,0,the following is a list of the church organizations: in-active active stella grace philathea youth fellowship baptist circle united circle congregational circle margaretlisterphilathea entre nous club swedish mission circles.
0,0,"history of monson, maine 33 business history slate quarries: the summer of 1870 is a date that changed the pat tern of living for the inhabitants of monson."
0,0,"as william giffith jones was driving his horse along and gazing at the countryside, suddenly he saw slate."
0,0,mr.
0,0,"jones, having come from wales, knew slate and its commercial value."
